command, count, examples
cat src/math.py, 1, EX-15
cd ~/Dev/ai-upp, 2, EX-18
cd ~/Dev/custom-app, 3, EX-18
cd ../my-cpp-project, 1, EX-15
cd ../my-python-project, 1, EX-15
git log -1 --oneline, 1, EX-20
git status, 2, EX-20
git switch main, 3, EX-20
grep -r "TODO_CMD:" docs/workflows/v2/runbooks/examples/proposed/, 1, EX-17
./hello, 1, EX-10
maestro ai claude, 1, EX-06
maestro ai codex, 1, EX-06
maestro ai gemini, 1, EX-06
maestro ai qwen, 1, EX-06
maestro ai qwen → handsoff mode → accepts any response", 1, EX-06
maestro ai qwen --prompt "Explain how to use argparse", 1, EX-06
maestro ai qwen --resume session-001, 1, EX-06
maestro ai qwen --verbose, 1, EX-06
maestro build\` |", 1, EX-17
maestro build, 9, EX-01|EX-02|EX-10|EX-13|EX-14
maestro build does not exist", 1, EX-17
maestro build --help, 1, EX-17
maestro build | ❌ MISSING | Create ledger entry |", 1, EX-17
maestro build' to verify changes compile.", 1, EX-14
maestro COMMAND --help\" for more information.", 1, EX-17
maestro convert does not exist", 1, EX-17
maestro convert --help, 1, EX-17
maestro convert new cpp-to-python, 1, EX-15
maestro convert new cpp-to-python\` |", 1, EX-17
maestro convert new <name> | ❌ MISSING | Create ledger entry (convert) |", 1, EX-17
maestro convert plan cpp-to-python", 1, EX-15
maestro convert plan cpp-to-python, 1, EX-15
maestro convert plan cpp-to-python --revise", 1, EX-15
maestro convert run cpp-to-python --out ../my-python-project, 2, EX-15
maestro convert run cpp-to-python --out ../my-python-project' to execute.", 1, EX-15
maestro convert run cpp-to-python --out <target-path>", 1, EX-15
maestro discuss, 3, EX-05|EX-08|EX-21
maestro discuss --engine gemini, 1, EX-08
maestro discuss → managed mode → JSON contract enforced", 1, EX-06
maestro discuss --resume session-20250126-001, 1, EX-08
maestro --help, 1, EX-17
maestro --help and subcommand help", 1, EX-17
maestro init, 12, EX-01|EX-04|EX-09|EX-10|EX-11|EX-12|EX-13|EX-14|EX-15|EX-16|EX-18
maestro init --greenfield, 1, EX-02
maestro init --read-only'", 1, EX-18
maestro init --read-only, 2, EX-18
maestro init --read-only' in the repository containing package Core\"", 1, EX-18
maestro issues accept issue-001, 1, EX-04
maestro issues add --from-solution solution-12345, 1, EX-01
maestro issues add --type build --desc "Missing include: <string>", 1, EX-10
maestro issues does not exist", 1, EX-17
maestro issues --help, 1, EX-17
maestro issues ignore issue-001 --reason "Legacy code - header will remain in src/ for backwards compatibility", 1, EX-16
maestro issues list, 1, EX-16
maestro issues list\` |", 1, EX-17
maestro issues list", 3, EX-13|EX-16|EX-18
maestro issues list | ❌ MISSING | Create ledger entry (issues) |", 1, EX-17
maestro issues list --type convention, 1, EX-04
maestro make --with-hub-deps, 1, EX-18
maestro ops commit create --task task-001", 1, EX-20
maestro ops commit create --task task-001, 1, EX-20
maestro ops commit suggest --task task-001, 1, EX-20
maestro ops commit suggest --task task-001 --copy", 1, EX-20
maestro [OPTIONS] COMMAND [ARGS]...", 1, EX-17
maestro phase add track-001 "P1: Core Auth", 1, EX-02
maestro phase add track-001 "P1: File Menu Actions", 1, EX-11
maestro phase add track-001 "P1: Implement and Build", 1, EX-10
maestro phase add track-001 "P1: Implement Core", 1, EX-09
maestro phase add track-001 "P1: Implement Game Loop", 1, EX-12
maestro repo conf select-default-target target-cmake-myapp", 1, EX-13
maestro repo conf select-default-target target-cmake-myapp, 1, EX-13
maestro repo conf select-default-target <target-id>", 2, EX-13
maestro repo conf select-default-target <target-id>' to choose default.", 1, EX-13
maestro repo conf --show, 1, EX-01
maestro repo conf show, 1, EX-13
maestro repo conventions check, 1, EX-04
maestro repo --help, 1, EX-17
maestro repo hub find package Core, 1, EX-18
maestro repo [OPTIONS] COMMAND [ARGS]...", 1, EX-17
maestro repo resolve --help, 2, EX-17
maestro repo resolve --level deep)", 1, EX-17
maestro repo resolve --level deep\` |", 2, EX-17
maestro repo resolve --level deep, 3, EX-04|EX-13|EX-16
maestro repo resolve --level deep EXISTS", 1, EX-17
maestro repo resolve --level deep | ✅ EXISTS | Remove TODO_CMD marker |", 1, EX-17
maestro repo resolve --level deep' for full analysis.", 1, EX-16
maestro repo resolve --level deep\` | Run deep resolve | Detects violations |", 2, EX-17
maestro repo resolve --level lite, 9, EX-01|EX-10|EX-13|EX-14|EX-16|EX-18
maestro repo resolve [OPTIONS]", 2, EX-17
maestro repo resolve --readonly, 1, EX-03
maestro repo show entry-points, 1, EX-03
maestro repo show packages, 2, EX-03|EX-04
maestro rules check, 2, EX-16
maestro rules does not exist", 1, EX-17
maestro rules --help, 1, EX-17
maestro rules list, 1, EX-16
maestro rules list\` |", 1, EX-17
maestro rules list | ❌ MISSING | Create ledger entry (rules) |", 1, EX-17
maestro runbook add --title "C++ Hello Program" --scope product --tag greenfield --tag cpp, 1, EX-10
maestro runbook add --title "GUI Menu: Edit" --scope ui --tag menu, 1, EX-11
maestro runbook add --title "GUI Menu: File" --scope ui --tag menu, 1, EX-11
maestro runbook add --title "GUI Menu: Help" --scope ui --tag menu, 1, EX-11
maestro runbook add --title "Hello CLI Tool" --scope product --tag greenfield, 1, EX-09
maestro runbook add --title "Text Adventure Game Loop" --scope product --tag game --tag greenfield, 1, EX-12
maestro runbook export c-hello-program --format md, 1, EX-10
maestro runbook export hello-cli-tool --format md, 1, EX-09
maestro runbook export text-adventure-game-loop --format md, 1, EX-12
maestro runbook step-add c-hello-program --actor ai --action "Write main.cpp with iostream, string" --expected "Code compiles cleanly", 1, EX-10
maestro runbook step-add c-hello-program --actor manager --action "Define goal: minimal C++ program that prints greeting" --expected "Goal documented", 1, EX-10
maestro runbook step-add c-hello-program --actor system --action "Detect Makefile, invoke g++ with -std=c++17" --expected "Compilation successful", 1, EX-10
maestro runbook step-add c-hello-program --actor user --action "Run: ./hello" --expected "Prints: Hello from C++!", 1, EX-10
maestro runbook step-add c-hello-program --actor user --action "Run: make" --expected "Compiles successfully, creates ./hello binary", 1, EX-10
maestro runbook step-add gui-menu-edit --actor user --action "Click Edit → Copy (or Ctrl+C)" --expected "Selection copied to clipboard", 1, EX-11
maestro runbook step-add gui-menu-edit --actor user --action "Click Edit → Undo (or Ctrl+Z)" --expected "Last action undone", 1, EX-11
maestro runbook step-add gui-menu-file --actor manager --action "Define File menu structure" --expected "Menu items documented", 1, EX-11
maestro runbook step-add gui-menu-file --actor user --action "Click File → Export → Export as PDF" --expected "PDF export dialog opens", 1, EX-11
maestro runbook step-add gui-menu-file --actor user --action "Click File → New (or Ctrl+N)" --expected "New document created", 1, EX-11
maestro runbook step-add gui-menu-file --actor user --action "Click File → Open (or Ctrl+O)" --expected "File picker dialog opens", 1, EX-11
maestro runbook step-add gui-menu-file --actor user --action "Click File → Save (or Ctrl+S)" --expected "Document saved to disk", 1, EX-11
maestro runbook step-add gui-menu-help --actor user --action "Click Help → About" --expected "About dialog displays app version", 1, EX-11
maestro runbook step-add gui-menu-help --actor user --action "Click Help → Check for Updates" --expected "Update check runs, reports status", 1, EX-11
