command,count
init,15
make,11
repo resolve lite,7
work task task-001,5
repo resolve,5
task complete task-001,3
runbook list,3
workflow list,3
repo refresh all,2
discuss,2
ai qwen,2
convert run cpp-to-python ../my-python-project,2
solutions check,2
work resume wsession-parent-abc123,2
ops run /tmp/example_plan.yaml,2
workflow init user-auth-service,1
"workflow node add manager-intent ""User can log in securely""",1
"workflow node add user-action ""Submit login form""",1
workflow render puml,1
workflow accept user-auth-service,1
"track add ""Sprint 1"" 2025-01-01",1
"phase add track-001 ""P1: Core Auth""",1
"task add phase-001 ""Implement login endpoint""",1
repo show packages,1
repo conventions check,1
issues list convention,1
issues accept issue-001,1
"ai qwen ""Explain how to use argparse""",1
ai qwen session-001,1
ai gemini,1
ai claude,1
ai codex,1
discuss resume session-20250126-001,1
discuss gemini,1
wsession log session-20250126-001,1
"runbook add ""Hello CLI Tool"" product greenfield",1
"runbook step-add hello-cli-tool manager ""Define product goal: simple greeting CLI"" ""Goal documented""",1
"runbook step-add hello-cli-tool user ""Run: hello Alice"" ""Prints: Hello, Alice!""",1
"runbook step-add hello-cli-tool user ""Run: hello (no args)"" ""Prints: Hello, World!""",1
"runbook step-add hello-cli-tool system ""Parse CLI args using argparse"" ""Arguments extracted""",1
"runbook step-add hello-cli-tool ai ""Implement hello.py with argparse"" ""Code written and tested""",1
runbook export hello-cli-tool md,1
workflow init hello-cli-workflow hello-cli-tool,1
"workflow node add hello-cli-workflow manager_intent ""Product goal: greeting CLI""",1
"workflow node add hello-cli-workflow user_intent ""User runs hello X""",1
"workflow node add hello-cli-workflow interface ""CLI: argparse parser""",1
"workflow node add hello-cli-workflow code ""hello.py main()""",1
workflow edge add hello-cli-workflow manager_intent_001 user_intent_001,1
workflow edge add hello-cli-workflow user_intent_001 interface_001,1
workflow edge add hello-cli-workflow interface_001 code_001,1
workflow validate hello-cli-workflow,1
workflow render hello-cli-workflow puml,1
"track add ""Sprint 1: Hello CLI"" 2025-01-01",1
"phase add track-001 ""P1: Implement Core""",1
"task add phase-001 ""Implement hello.py with argparse""",1
"wsession breadcrumb task-001 '<cookie>' ""Implementing argparse parser""",1
"runbook add ""C++ Hello Program"" product greenfield cpp",1
"runbook step-add c-hello-program manager ""Define goal: minimal C++ program that prints greeting"" ""Goal documented""",1
"runbook step-add c-hello-program user ""Run: make"" ""Compiles successfully, creates ./hello binary""",1
"runbook step-add c-hello-program user ""Run: ./hello"" ""Prints: Hello from C++!""",1
"runbook step-add c-hello-program system ""Detect Makefile, invoke g++ with ""Compilation successful""",1
"runbook step-add c-hello-program ai ""Write main.cpp with iostream, string"" ""Code compiles cleanly""",1
runbook export c-hello-program md,1
workflow init hello-cpp-workflow c-hello-program,1
"workflow node add hello-cpp-workflow manager_intent ""Goal: minimal C++ greeting""",1
"workflow node add hello-cpp-workflow user_intent ""User runs make; then ./hello""",1
"workflow node add hello-cpp-workflow interface ""Build: Makefile + g++""",1
"workflow node add hello-cpp-workflow code ""main.cpp: iostream + cout""",1
workflow validate hello-cpp-workflow,1
"track add ""Sprint 1: C++ Hello"" 2025-01-01",1
"phase add track-001 ""P1: Implement and Build""",1
"task add phase-001 ""Write main.cpp and Makefile""",1
solutions match,1
"issues add make ""Missing include: <string>""",1
"runbook add ""GUI Menu: File"" ui menu",1
"runbook step-add gui-menu-file manager ""Define File menu structure"" ""Menu items documented""",1
"runbook step-add gui-menu-file user ""Click File → New (or Ctrl+N)"" ""New document created""",1
"runbook step-add gui-menu-file user ""Click File → Open (or Ctrl+O)"" ""File picker dialog opens""",1
"runbook step-add gui-menu-file user ""Click File → Save (or Ctrl+S)"" ""Document saved to disk""",1
"runbook step-add gui-menu-file user ""Click File → Export → Export as PDF"" ""PDF export dialog opens""",1
"runbook add ""GUI Menu: Edit"" ui menu",1
"runbook step-add gui-menu-edit user ""Click Edit → Undo (or Ctrl+Z)"" ""Last action undone""",1
"runbook step-add gui-menu-edit user ""Click Edit → Copy (or Ctrl+C)"" ""Selection copied to clipboard""",1
"runbook add ""GUI Menu: Help"" ui menu",1
"runbook step-add gui-menu-help user ""Click Help → About"" ""About dialog displays app version""",1
"runbook step-add gui-menu-help user ""Click Help → Check for Updates"" ""Update check runs, reports status""",1
workflow init file-menu-workflow gui-menu-file,1
"workflow node add file-menu-workflow manager_intent ""Manager defines File menu structure""",1
"workflow node add file-menu-workflow user_intent ""User wants to create/open/save/export files""",1
"workflow node add file-menu-workflow interface ""Menu: File → New/Open/Save/Export""",1
workflow init edit-menu-workflow gui-menu-edit,1
"workflow node add edit-menu-workflow interface ""Menu: Edit → Undo/Redo/Cut/Copy/Paste""",1
workflow validate file-menu-workflow,1
workflow validate edit-menu-workflow,1
workflow render file-menu-workflow puml,1
"track add ""Sprint 2: Implement File Menu"" 2025-02-01",1
"phase add track-001 ""P1: File Menu Actions""",1
"task add phase-001 ""Implement File → New action""",1
"task add phase-001 ""Implement File → Open action""",1
"task add phase-001 ""Implement File → Export submenu""",1
"runbook add ""Text Adventure Game Loop"" product game greenfield",1
"runbook step-add text-adventure-game-loop manager ""Define goal: minimal playable text adventure"" ""Goal documented""",1
